Alliance Forum;alliance-forum
andere_Projekte;andere-projekte
Biofilm monitoring;biofilm-monitoring
Correspondence-Letters-Job descriptions;correspondence-letters_job-descriptions
Data Analysis;data-analysis
Data-Work packages;data_work-packages
External communication;external-communication
External docs;external-docs
First Flush;first-flush
Investment information;investment-information
Kern-Ergebnisse;kern-ergebnisse
Kosten_Nutzen;kosten-nutzen
KWB-FU;kwb_fu
Meetings-Minutes-Memos;meetings_minutes_memos
Meetings-Minutes;meetings_minutes
MS Project;ms-project
Periodic reports;periodic-reports
Praxis_Empfehlungen;praxis-empfehlungen
progress report;progress-report
Project controlling;project-controlling
Project development-Proposal;project-development_proposal
Project review;project-review
Proposal for extension for;proposal-for-extension-for
ProvidedSoftware;provided-software
related docs;related-docs
Reports-Conference-Publication;reports_conference_publication
Scopus_Recherche;scopus-recherche
Sozio.konomische Betrachtung;soziooekonomische-betrachtung
State-of-the-art;state-of-the-art
StatistischeAnalyse;statistische-analyse
Status Quo;status-quo
Todo_list;todo-list
USB Drive;usb-drive
ValidationTool;validation-tool
WP organisation;wp-organisation
